source,location_group,count_locations,midweek_avg_daily_volume_2024,midweek_avg_daily_volume_2025,percent_change_2024_2025,example_locations
ATR,West 62nd St,2,5279.8,5203.0,-1.5,West 62nd St EB between Amsterdam Ave and Columbus Ave
ATR,West Houston Street,1,14753.2,18232.8,23.6,West Houston Street between Wooster St and West Broadway
ATR,West Houston Street,1,9138.5,11664.7,27.6,West Houston Street EB between West Broadway and Wooster St
VTMC,1st Ave,1,21962.0,22387.0,1.9,1st Ave at 13th St
VTMC,21st St,1,26595.0,29938.0,12.6,21st St at 36th Ave
VTMC,2nd Ave,1,30960.0,28462.0,-8.1,2nd Ave at 14th St
VTMC,3rd Ave,1,44721.0,41307.0,-7.6,3rd Ave at 57th St
VTMC,3rd Ave,1,40672.0,41876.0,3.0,3rd Ave at 34 St
VTMC,3rd Ave,1,23201.0,31406.0,35.4,3rd Ave at 14th St
VTMC,6th Ave,1,40330.0,41187.0,2.1,6th Ave at 23rd St
VTMC,7th Ave,1,30322.0,32146.0,6.0,7th Ave at 57th St
VTMC,7th Ave,1,24772.0,29362.0,18.5,7th Ave at 14th St
VTMC,8th Ave,1,28632.0,29036.0,1.4,8th Ave at 34 St
VTMC,8th Ave,1,20427.0,19828.0,-2.9,8th Ave at 41 St
VTMC,9th Ave,1,41634.0,38199.0,-8.3,9th Ave at 42 St
VTMC,9th Ave,1,36274.0,35819.0,-1.3,9th Ave at 34 St
VTMC,9th Ave,1,19503.0,19094.0,-2.1,9th Ave at 22nd St
VTMC,Allen St,1,13157.0,14857.0,12.9,Allen St at Stanton St
VTMC,Boerum Place,1,40429.0,39909.0,-1.3,Boerum Place at Atlantic Ave
VTMC,Canal St,1,35552.0,31235.0,-12.1,Canal St at Walker St
VTMC,Church St,1,26176.0,25650.0,-2.0,Church St at Chamber St
VTMC,Flatbush Ave,1,58608.0,59127.0,0.9,Flatbush Ave at Atlantic Ave
VTMC,Flatbush Ave Ext,1,92156.0,88322.0,-4.2,Flatbush Ave Ext at Tillary St
VTMC,Hicks St,1,29509.0,25127.0,-14.8,Hicks St at Atlantic Ave
VTMC,Lexington Ave,1,31451.0,32571.0,3.6,Lexington Ave at 42nd St
VTMC,Steinway St,1,39404.0,41364.0,5.0,Steinway St at Northern Blvd
VTMC,Thompson Ave,1,39068.0,46200.0,18.3,Thompson Ave at Van Dam St
VTMC,Union Square,1,26476.0,26144.0,-1.3,Union Square at 15th St
VTMC,Water St,1,21287.0,21322.0,0.2,Water St at Fulton St
VTMC,West Broadway,1,29337.0,35456.0,20.9,West Broadway at West Houston St
