source,location_group,count_segment_id_2024,count_segment_id_2025,display_location,midweek_avg_daily_volume_2024,midweek_avg_daily_volume_2025,percent_change_2024_2025
VTMC,7th Ave,2A7,20558,7th Ave at 14th St,24772.0,29362.0,18.5
VTMC,7th Ave,1A10,21549,7th Ave at 57th St,30322.0,32146.0,6.0
VTMC,8th Ave,1B6,21341,8th Ave at 34 St,28632.0,29036.0,1.4
VTMC,8th Ave,9P1,21349,8th Ave at 41 St,20427.0,19828.0,-2.9
VTMC,9th Ave,15P1,21135,9th Ave at 22nd St,19503.0,19094.0,-2.1
VTMC,9th Ave,11P1,21259,9th Ave at 34 St,36274.0,35819.0,-1.3
VTMC,9th Ave,10P1,21354,9th Ave at 42 St,41634.0,38199.0,-8.3
VTMC,Allen St,29P2,20776+20777,Allen St at Stanton St,13157.0,14857.0,12.9
VTMC,Boerum Place,2B3,15720,Boerum Place at Atlantic Ave,40429.0,39909.0,-1.3
VTMC,Canal St,33P2,-1761,Canal St at Walker St,35552.0,31235.0,-12.1
VTMC,Church St,2A10,15371,Church St at Chamber St,26176.0,25650.0,-2.0
VTMC,Flatbush Ave,2B8,18574,Flatbush Ave at Atlantic Ave,58608.0,59127.0,0.9
VTMC,Flatbush Ave Ext,2B1,-1760,Flatbush Ave Ext at Tillary St,92156.0,88322.0,-4.2
VTMC,Hicks St,2B4,15534,Hicks St at Atlantic Ave,29509.0,25127.0,-14.8
VTMC,Lexington Ave,1B7,22500,Lexington Ave at 42nd St,31451.0,32571.0,3.6
VTMC,Steinway St,2B11,41646,Steinway St at Northern Blvd,39404.0,41364.0,5.0
VTMC,Thompson Ave,2B10,41447,Thompson Ave at Van Dam St,39068.0,46200.0,18.3
VTMC,Union Square,3A8,20820,Union Square at 15th St,26476.0,26144.0,-1.3
VTMC,Water St,2A11,15429,Water St at Fulton St,21287.0,21322.0,0.2
VTMC,West Broadway,2A8,20520,West Broadway at West Houston St,29337.0,35456.0,20.9
