display_name,segment_id_2024,base_id_2025,location_2024,location_2025,directions_2024,directions_2025,direction_display,pct_change_2024_2025,midweek_avg_daily_volume_2024,midweek_avg_daily_volume_2025,match_type,volume_comparability,needs_review,segment_id_2025,latitude,longitude,latitude_2024,longitude_2024,latitude_2025,longitude_2025,distance_m_2024_2025,text_score_2024_2025,match_tier_2024_2025,strict_reject_reason,direction_count,days_2024,days_2025,hours_2024,hours_2025,records_2024,records_2025,segment_id_2023,location_2023,latitude_2023,longitude_2023,distance_m_2023_2024,text_score_2023_2024,match_tier_2023_2024,directions_2023,midweek_avg_daily_volume_2023,pct_change_2023_2024,pct_change_2023_2025,days_2023,hours_2023,records_2023
1 Avenue between Stanton St and E Houston St — NB,29P2,771409,12_ATR_1 Avenue between Stanton St and E Houston St,ALLEN STREET between Dead End and East Houston Street,NB,NB,NB,-16.06,11644.5,9774.17,direction_split,direction_exact,TRUE,9006474,40.722484,-73.988673,40.722494,-73.98863,40.722474,-73.988716,7.6,67.9,direction_split_text_and_distance,direction_set_mismatch,1,6,6,24,24,576,576,,,,,,,,,,,,,,
Canal Street between Walker St and Mulberry St — EB,33P2,771403,16_ATR_Canal Street EB between Walker St and Mulberry St,CANAL STREET between Manhattan Bridge Line and Baxter Street,EB,EB,EB,-2.63,18825.0,18330.33,direction_split,direction_exact,TRUE,32319,40.717266,-73.998886,40.717205,-73.998819,40.717327,-73.998954,17.7,50.0,direction_split_close_distance,direction_set_mismatch,1,6,6,24,24,576,576,,,,,,,,,,,,,,
Canal Street between Walker St and Mulberry St — WB,33P2,771404,16_ATR_Canal Street EB between Walker St and Mulberry St,CANAL STREET between Manhattan Bridge Line and Baxter Street,WB,WB,WB,-0.64,15024.67,14929.0,direction_split,direction_exact,TRUE,32319,40.717266,-73.998886,40.717205,-73.998819,40.717327,-73.998954,17.7,53.1,direction_split_close_distance,direction_set_mismatch,1,6,6,24,24,576,576,,,,,,,,,,,,,,
FDR Dr between Market Slip and Manhattan Bridge — NB → EB,44P4,771400,44_ATR_FDR Dr Btwn Market Slip and Manhattan Bridge,F D R DRIVE between Fdr Drive Nb En Brooklyn Brdg and Manhattan Bridge Pedestrian Path,NB,EB,NB → EB,-0.82,58078.92,57604.5,direction_split,direction_methodology_mismatch,TRUE,240850,40.709451,-73.993086,40.70948,-73.993057,40.709422,-73.993115,8.0,73.0,direction_methodology_text_and_distance,direction_methodology_mismatch,1,12,6,24,24,1152,576,,,,,,,,,,,,,,
FDR Dr between Market Slip and Manhattan Bridge — SB → WB,45P4,771399,45_ATR_FDR Dr Btwn Market Slip and Manhattan Bridge,F D R DRIVE between Dead End and Manhattan Bridge Pedestrian Path,SB,WB,SB → WB,-2.41,60616.0,59157.83,direction_split,direction_methodology_mismatch,TRUE,240837,40.709504,-73.993093,40.70948,-73.993057,40.709528,-73.993129,8.1,64.4,direction_methodology_text_and_distance,direction_methodology_mismatch,1,12,6,24,24,1152,576,,,,,,,,,,,,,,
Exit From LIE — WB,48P2,771449,22_ATR_Exit from LIE LIE,LONG ISLAND EXPWY ET 15 WB between Dead End and Borden Avenue,WB,WB,WB,21.26,20866.33,25302.67,direction_split,partner_full_value_override,TRUE,143052,40.737393,-73.93239,40.737393,-73.932321,40.737392,-73.93246,11.7,18.5,direction_split_partner_full_value_very_close,partner_full_value_override,1,6,6,24,24,576,576,,,,,,,,,,,,,,
Ferry Terminal Exit at Ferry Terminal Viaduct — SB → WB,52P2,771397,26_ATR_Ferry Terminal Exit at Ferry Terminal Viaduct#1,FERRY TERMINAL DRIVE between Staten Island Railway Line and Dead end,SB,WB,SB → WB,1.91,3748.17,3819.83,direction_split,direction_methodology_mismatch,TRUE,160834,40.642954,-74.075097,40.642933,-74.075119,40.642975,-74.075074,6.0,60.9,direction_methodology_text_and_distance,direction_methodology_mismatch,1,6,6,24,24,576,576,,,,,,,,,,,,,,
Ferry Terminal Viaduct and Richmond Terrace — NB → EB,53P2,771398,27_ATR_Ferry Terminal Viaduct and Richmond Terrace#1,FERRY TERMINAL DRIVE between Dead End and Staten Island Railway Line,NB,EB,NB → EB,18.21,3180.67,3759.83,direction_split,direction_methodology_mismatch,TRUE,16446,40.642182,-74.074848,40.64219,-74.074905,40.642175,-74.074791,9.8,57.4,direction_methodology_close_distance,direction_methodology_mismatch,1,6,6,24,24,576,576,,,,,,,,,,,,,,
9th Avenue between W 42nd St and W 43rd St — SB,10P1,771427,1_ATR _9th Avenue SB between W 42nd St and W 43rd St,9 AVENUE between West 42 Street and West 43 Street,SB,SB,SB,2.43,23735.5,24311.5,strict_one_to_one,direction_set_exact,FALSE,33840,40.758715,-73.992432,40.758686,-73.992461,40.758743,-73.992404,8.0,78.0,text_and_distance,,1,6,6,24,24,576,576,10P1,9th Avenue 42nd Street,40.758686,-73.992461,0.0,100.0,text_and_distance,SB,25495.67,-6.9,-4.64,6,24,576
9th Avenue between 34th St and 33rd St — SB,11P1,771421,2_ATR_9th Avenue SB between 34th St and 33rd St,9 AVENUE between West 33 Street and West 34 Street,SB,SB,SB,-8.85,21953.33,20011.0,strict_one_to_one,direction_set_exact,FALSE,33660,40.752975,-73.996616,40.752928,-73.99666,40.753021,-73.996571,12.8,76.9,text_and_distance,,1,6,6,24,24,576,576,11P1,9th Avenue 34th Street,40.752928,-73.99666,0.0,100.0,text_and_distance,SB,17884.17,22.75,11.89,6,24,576
East 61 Street between Lexington Ave and 3rd Ave — WB,12P1,771434,3_ATR_East 61 Street between Lexington Ave and 3rd Ave,EAST 61 STREET between Lexington Avenue and 3 Avenue,WB,WB,WB,-7.5,5985.0,5536.0,strict_one_to_one,direction_set_exact,FALSE,36279,40.763162,-73.966516,40.763148,-73.966481,40.763176,-73.966551,6.7,95.8,text_and_distance,,1,6,6,24,24,576,576,12P1,East 61 Street Lexington Avenue,40.763148,-73.966481,0.0,100.0,text_and_distance,WB,5192.33,15.27,6.62,6,24,576
9th Avenue between W 22nd St and 23rd St — SB,15P1,771418,5_ATR_9th Avenue between W 22nd St and 23rd St,9 AVENUE between West 22 Street and West 23 Street,SB,SB,SB,7.64,16707.83,17984.17,strict_one_to_one,direction_set_exact,FALSE,33463,40.746174,-74.001589,40.746212,-74.001594,40.746136,-74.001585,8.4,84.2,text_and_distance,,1,6,6,24,24,576,576,15P1,9th Avenue W 22nd Street,40.746212,-74.001594,0.0,100.0,text_and_distance,SB,17015.33,-1.81,5.69,6,24,576
9A at 14th Street — NB,15P3A3B,771417,31_ATR_9A at 14th Street,11 AVENUE between 10 Avenue and West 15 Street,NB,NB,NB,18.46,23744.83,28129.17,strict_one_to_one,direction_set_exact,FALSE,143221,40.742418,-74.0087,40.742371,-74.008725,40.742465,-74.008676,11.2,46.7,close_distance,,1,6,6,24,24,576,576,,,,,,,,,,,,,,
East 34th Street between Lexington Ave and 3rd Ave — EB,1B3,771424,50_ATR_ East 34th Street between Lexington Ave and 3rd Ave,EAST 34 STREET between Lexington Avenue and 3 Avenue,EB,EB,EB,-22.24,9260.5,7200.67,strict_one_to_one,direction_set_exact,FALSE,34153,40.746102,-73.978979,40.746129,-73.979011,40.746075,-73.978947,8.1,88.0,text_and_distance,,1,6,6,24,24,576,576,,,,,,,,,,,,,,
West 34th Street between 8th Ave and 9th Ave — EB,1B6,771422,54_ATR_ West 34th Street_EB between 8th Ave and 9th Ave,WEST 34 STREET between 8 Avenue and 9 Avenue,EB,EB,EB,5.17,7679.33,8076.17,strict_one_to_one,direction_set_exact,FALSE,33814,40.752836,-73.99497,40.752868,-73.995023,40.752803,-73.994917,11.5,76.9,text_and_distance,,1,6,6,24,24,576,576,,,,,,,,,,,,,,
1 Avenue between E 13th St and E 14th St — NB,27P2,771414,10_ATR_1 Avenue between E 13th St and E 14th St,1 AVENUE between East 13 Street and 14 Street/canarsie Line,NB,NB,NB,-17.89,21103.17,17328.67,strict_one_to_one,direction_set_exact,FALSE,33123,40.73097,-73.982842,40.730969,-73.982848,40.730972,-73.982836,1.0,66.7,text_and_distance,,1,6,6,24,24,576,576,27P2,1 Avenue  E. 13 Street,40.730969,-73.982848,0.0,87.0,text_and_distance,NB,21460.0,-1.66,-19.25,6,24,576
