SegmentId,Direction,street,fromSt,toSt,2024,2025,perc_change,base_id_2025,match_status,nearest_segment_id_2024,nearest_location_2024,nearest_directions_2024,distance_m,text_score,strict_reject_reason,recommendation
160834,WB,FERRY TERMINAL DRIVE,Staten Island Railway Line,Dead end,3748.166667,3819.833333,0.019120459,771397.0,unmatched,52P2,ferry terminal exit at ferry terminal viaduct 1,SB,42.8,60.9,direction_count_mismatch,manual_review_direction_methodology
32319,EB,CANAL STREET,Manhattan Bridge Line,Baxter Street,33849.66667,33259.33333,-0.017439857,771403.0,matched,33P2,canal st between mulberry st and walker st,EB;WB,17.7,71.4,,already_matched
32319,WB,CANAL STREET,Manhattan Bridge Line,Baxter Street,33849.66667,33259.33333,-0.017439857,771403.0,matched,33P2,canal st between mulberry st and walker st,EB;WB,17.7,71.4,,already_matched
34384,EB,WEST 62 STREET,Columbus Avenue,Amsterdam Avenue,5279.833333,5203.0,-0.014552227,771430.0,matched,13P1,w 62nd st between amsterdam ave and columbus ave,EB;WB,23.3,97.7,,already_matched
34384,WB,WEST 62 STREET,Columbus Avenue,Amsterdam Avenue,5279.833333,5203.0,-0.014552227,771430.0,matched,13P1,w 62nd st between amsterdam ave and columbus ave,EB;WB,23.3,97.7,,already_matched
157025,WB,QUEENS BOULEVARD,39 Street,39 Place,12673.16667,12803.16667,0.010257894,771444.0,matched,46P2,queens blvd between 39th place and 39th st,WB,8.9,97.2,,already_matched
33814,EB,WEST 34 STREET,8 Avenue,9 Avenue,16375.33333,16291.0,-0.005150022,771422.0,matched,1B6;55P4,w 34th st between 8th ave and 9th ave,EB;WB,11.5,90.0,,already_matched
33814,WB,WEST 34 STREET,8 Avenue,9 Avenue,16375.33333,16291.0,-0.005150022,771422.0,matched,1B6;55P4,w 34th st between 8th ave and 9th ave,EB;WB,11.5,90.0,,already_matched
32314,EB,WALKER STREET,Baxter Street,Canal Street,,3345.833333,,771405.0,unmatched,33P2,canal st between mulberry st and walker st,EB;WB,14.3,88.6,direction_count_mismatch,manual_review_direction_split
33463,SB,9 AVENUE,West 22 Street,West 23 Street,,17984.16667,,771418.0,matched,15P1,9th ave between 23rd st and w 22nd st,SB,8.4,90.3,,already_matched
33840,SB,9 AVENUE,West 42 Street,West 43 Street,,24311.5,,771427.0,matched,10P1,9th ave between w 42nd st and w 43rd st,SB,8.0,90.3,,already_matched
66284,EB,BORDEN AVENUE,Greenpoint Avenue,Long Island Expwy Et 17 E-w Eb,,36610.16667,,771450.0,matched,35P2,borden ave on ramp at lie 1,EB,1.5,54.1,,already_matched
139020,NB,MAJOR DEEGAN EXPRESSWAY,High Bridge,Major Deegan Expwy Et 7 N Sb,,46812.0,,771440.0,matched,1P2,major deegan depot place,NB;SB,12.7,66.7,,already_matched
139739,EB,GRAND CENTRAL PARKWAY,Dead End,Brooklyn Queens Expwy Et 42 Eb,,92399.5,,771442.0,matched,50P2;51P2,grand central pkwy bqe,EB;WB,19.5,100.0,,already_matched
150832,NB,F D R DRIVE,Dead End,Pedestrian Overpass,,60394.16667,,771401.0,matched,42P4;43P4,fdr dr between cherry st and jackson st,NB;SB,19.0,56.5,,already_matched
151133,NB,DR M L KING JR EXPRESSWAY,Dead End,Dead end,,37385.16667,,771395.0,matched,48P4;49P4,ny 440 dr m l k jr expwy between dixon ave and walker st,NB;SB,18.7,68.9,,already_matched
151133,SB,DR M L KING JR EXPRESSWAY,Dead End,Dead end,,37385.16667,,771395.0,matched,48P4;49P4,ny 440 dr m l k jr expwy between dixon ave and walker st,NB;SB,18.7,68.9,,already_matched
151268,SB,F D R DRIVE,Dead End,Pedestrian Overpass,,64217.83333,,,partner_row_not_in_2025_midweek_base,,,,,,,
152997,WB,GRAND CENTRAL PARKWAY,Dead End,Dead end,,101072.3333,,,partner_row_not_in_2025_midweek_base,,,,,,,
154477,SB,MAJOR DEEGAN EXPRESSWAY,High Bridge,Major Deegan Expwy Et 7 N Sb,,41798.16667,,,partner_row_not_in_2025_midweek_base,,,,,,,
194164,NB,F D R DRIVE,Dead End,E 6 Str-e River Park Ped Ovps,,67231.83333,,771412.0,matched,46P4;47P4,fdr dr between e 6th st and e houston st,NB;SB,16.3,62.7,,already_matched
229695,NB,HENRY HUDSON PARKWAY,Henry Hudson Parkway Et 11 Sb,Dead end,,56323.33333,,771438.0,unmatched,9P3A3B,henry hudson pkwy ramp 1,SB,26.9,82.9,direction_count_mismatch,manual_review
229701,SB,HENRY HUDSON PARKWAY,Henry Hudson Parkway Et 11 Sb,Dead end,,66947.66667,,,partner_row_not_in_2025_midweek_base,,,,,,,
240423,SB,F D R DRIVE,Dead End,E 6 Str-e River Park Ped Ovps,,71689.33333,,,partner_row_not_in_2025_midweek_base,,,,,,,
240837,WB,F D R DRIVE,Dead End,Manhattan Bridge Pedestrian Path,,59157.83333,,771399.0,unmatched,44P4;45P4,fdr dr between manhattan bridge and market slip,NB;SB,5.5,40.0,direction_set_mismatch,manual_review_direction_methodology
240850,EB,F D R DRIVE,Fdr Drive Nb En Brooklyn Brdg,Manhattan Bridge Pedestrian Path,,57604.5,,,partner_row_not_in_2025_midweek_base,,,,,,,
